City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,North Platte,US,2023-07-28 21:32:53,41.1239,-100.7654,97.12,32,0,11.5
191,Bredasdorp,ZA,2023-07-28 21:32:54,-34.5322,20.0403,51.01,86,54,15.03
192,Port Saint John'S,ZA,2023-07-28 21:32:54,-31.6229,29.5448,71.74,47,77,9.4
193,Camrose,CA,2023-07-28 21:33:54,53.0168,-112.8353,65.91,52,95,5.79
194,Nagqu,CN,2023-07-28 21:33:54,31.5,92.0,35.78,85,37,2.53
195,Malmesbury,ZA,2023-07-28 21:33:54,-33.4608,18.7271,49.77,95,100,11.34
196,Cidreira,BR,2023-07-28 21:33:54,-30.1811,-50.2056,53.94,73,47,12.73
197,Pacocha,PE,2023-07-28 21:33:55,-17.5833,-71.3333,68.14,73,0,10.36
198,Salekhard,RU,2023-07-28 21:33:56,66.53,66.6019,59.59,90,70,4.72
199,Morant Bay,JM,2023-07-28 21:33:56,17.8815,-76.4093,92.71,76,84,11.5
200,Waingapu,ID,2023-07-28 21:33:56,-9.6567,120.2641,71.33,86,11,9.26
201,Georgetown,MY,2023-07-28 21:32:09,5.4112,100.3354,82.94,89,20,3.44
202,Ceres,US,2023-07-28 21:30:47,37.5949,-120.9577,100.8,23,0,6.91
203,Howard Springs,AU,2023-07-28 21:33:57,-12.497,131.047,71.51,89,7,4.54
204,Enewetak,MH,2023-07-28 21:33:57,11.3474,162.3373,83.12,81,97,19.24
205,Akureyri,IS,2023-07-28 21:33:57,65.6835,-18.0878,48.13,87,75,11.5
206,Macae,BR,2023-07-28 21:33:57,-22.3708,-41.7869,76.75,85,0,12.66
207,Hamilton,US,2023-07-28 21:30:48,39.1834,-84.5333,95.22,67,0,11.5
208,Sao Joao Da Barra,BR,2023-07-28 21:33:57,-21.6403,-41.0511,73.49,80,62,14.92
209,Minas De Marcona,PE,2023-07-28 21:33:58,-15.2119,-75.1103,62.04,65,20,11.65
210,Mutuali,MZ,2023-07-28 21:33:58,-14.8706,37.0044,63.64,54,8,4.45
211,Altai,MN,2023-07-28 21:33:58,46.3722,96.2583,68.16,21,100,6.73
212,Manokwari,ID,2023-07-28 21:33:58,-0.8667,134.0833,79.11,77,91,2.98
213,Saldanha,ZA,2023-07-28 21:33:58,-33.0117,17.9442,50.05,89,100,21.61
214,Zagarolo,IT,2023-07-28 21:33:58,41.8431,12.8105,73.11,63,0,3.0
215,Utrik,MH,2023-07-28 21:33:58,11.2278,169.8474,82.92,80,100,20.92
216,Puerto Armuelles,PA,2023-07-28 21:33:25,8.2833,-82.8667,87.78,70,65,3.0
